location,total_sqft,bath,price,bhk,price_per_sqft
Jakkur,1290.0,2.0,100.0,2,7751.937984496124
Dodda Nekkundi,1804.0,3.0,121.0,3,6707.317073170731
Thanisandra,1185.5,2.0,58.68,2,4949.810206663855
Bellandur,900.0,2.0,56.0,2,6222.222222222223
Binny Pete,1350.0,2.0,91.0,2,6740.740740740741
Mysore Road,1005.0,2.0,35.175,2,3499.9999999999995
Poorna Pragna Layout,1160.0,2.0,46.39,2,3999.137931034483
Hennur Road,1680.0,3.0,99.27,3,5908.928571428572
other,1043.0,2.0,55.0,2,5273.250239693192
Hebbal,1040.0,2.0,46.0,2,4423.076923076923
other,1357.0,2.0,65.0,3,4789.977892409727
other,1225.0,2.0,47.0,2,3836.734693877551
Yelachenahalli,1130.0,2.0,40.0,2,3539.8230088495575
other,1700.0,3.0,120.0,3,7058.823529411765
Doddathoguru,1549.0,3.0,65.0,3,4196.255648805681
Yeshwanthpur,1400.0,2.0,100.0,2,7142.857142857143
Dodda Nekkundi,1080.0,2.0,50.0,2,4629.62962962963
Ulsoor,1180.0,2.0,100.0,2,8474.57627118644
Haralur Road,1225.0,2.0,67.38,2,5500.408163265306
Abbigere,1005.0,2.0,39.59,2,3939.303482587065
Whitefield,1320.0,2.0,95.0,2,7196.969696969697
other,1110.0,2.0,51.0,2,4594.594594594595
other,1300.0,2.0,54.0,2,4153.846153846154
Electronic City,1128.0,2.0,65.35,2,5793.439716312056
Jakkur,1452.19,2.0,100.0,2,6886.151261198604
Hosa Road,1243.0,2.0,48.5,2,3901.850362027353
other,960.0,2.0,32.0,2,3333.3333333333335
other,1690.0,3.0,100.0,3,5917.15976331361
Banaswadi,1365.0,2.0,73.0,2,5347.985347985348
Hebbal,1420.0,2.0,99.39,2,6999.295774647887
Somasundara Palya,1570.0,3.0,68.0,3,4331.210191082802
7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
Thigalarapalya,1418.0,2.0,104.0,2,7334.273624823695
Uttarahalli,1050.0,2.0,42.0,2,4000.0
Hennur Road,1065.0,2.0,42.6,2,4000.0
Yelahanka New Town,1610.0,3.0,92.0,3,5714.285714285715
Electronic City Phase II,1160.0,2.0,33.5,2,2887.9310344827586
Kudlu,1092.0,2.0,44.0,2,4029.3040293040294
Parappana Agrahara,1194.0,2.0,47.0,2,3936.348408710218
Yelahanka,1455.0,3.0,61.5,3,4226.80412371134
Ardendale,1100.0,2.0,48.0,2,4363.636363636364
Bellandur,1350.0,2.0,79.0,2,5851.851851851852
other,1355.0,3.0,61.0,3,4501.845018450184
Electronic City,1128.0,2.0,65.0,2,5762.41134751773
other,1350.0,2.0,90.0,2,6666.666666666667
Kasavanhalli,1493.0,3.0,82.0,3,5492.297387809779
8th Phase JP Nagar,1098.0,2.0,43.91,2,3999.089253187614
other,1460.0,3.0,88.0,3,6027.397260273972
Varthur,1091.0,2.0,32.0,2,2933.0889092575617
Yelahanka,1180.0,2.0,42.0,2,3559.322033898305
other,1685.0,3.0,95.0,3,5637.982195845697
Koramangala,1260.0,2.0,100.0,2,7936.507936507936
Whitefield,1346.0,2.0,96.17,2,7144.873699851411
7th Phase JP Nagar,1850.0,3.0,140.0,3,7567.5675675675675
Parappana Agrahara,1194.0,2.0,46.0,2,3852.5963149078725
Vijayanagar,1352.0,2.0,68.0,2,5029.585798816568
Thanisandra,2002.0,3.0,112.0,3,5594.4055944055945
Kaval Byrasandra,1060.0,2.0,45.0,2,4245.2830188679245
Kanakpura Road,1419.59,2.0,59.0,3,4156.129586711656
Raja Rajeshwari Nagar,1196.0,2.0,51.15,2,4276.755852842809
Electronics City Phase 1,1595.0,3.0,75.0,3,4702.194357366771
Banashankari,1260.0,2.0,75.0,2,5952.380952380952
Hebbal,1100.0,2.0,47.0,2,4272.727272727273
other,1180.0,2.0,52.0,2,4406.779661016949
Akshaya Nagar,1662.0,3.0,85.0,3,5114.320096269555
Hennur,1285.0,2.0,60.0,2,4669.260700389105
Ambedkar Nagar,1862.0,3.0,119.0,3,6390.977443609023
Raja Rajeshwari Nagar,1419.0,2.0,48.0,2,3382.663847780127
Raja Rajeshwari Nagar,1560.0,2.0,62.4,3,4000.0
Thanisandra,1634.0,3.0,78.0,3,4773.561811505508
other,1100.0,2.0,53.0,2,4818.181818181818
Yelahanka,1616.0,3.0,65.0,3,4022.2772277227723
Nagavarapalya,1392.0,2.0,99.0,2,7112.068965517241
Jakkur,1798.0,3.0,120.0,3,6674.082313681869
Babusapalaya,1675.0,3.0,75.0,3,4477.611940298508
Hebbal,1700.0,3.0,124.0,3,7294.117647058823
Hulimavu,1248.0,2.0,69.0,2,5528.846153846154
other,1147.0,2.0,54.0,2,4707.933740191805
other,1100.0,2.0,40.0,2,3636.3636363636365
Vijayanagar,1527.0,3.0,115.0,3,7531.106745252128
Kaggadasapura,1100.0,2.0,58.0,2,5272.727272727273
Seegehalli,1118.0,2.0,37.5,2,3354.2039355992843
Kanakapura,1476.0,3.0,75.0,3,5081.30081300813
Ambalipura,1332.0,2.0,79.0,2,5930.930930930931
Hennur Road,1350.0,2.0,49.0,2,3629.6296296296296
Haralur Road,1243.0,2.0,46.0,2,3700.7240547063557
NGR Layout,1105.0,2.0,49.73,2,4500.4524886877825
Kasavanhalli,1200.0,2.0,50.0,2,4166.666666666667
Ramagondanahalli,1251.0,2.0,47.4,2,3788.968824940048
Pai Layout,1400.0,2.0,67.0,3,4785.714285714285
Hegde Nagar,1703.0,3.0,113.0,3,6635.3493834409865
Jigani,933.0,2.0,43.0,2,4608.788853161844
Brookefield,1262.0,2.0,75.0,2,5942.947702060222
Yelahanka,915.0,2.0,48.0,2,5245.901639344263
Panathur,1370.0,2.0,61.5,3,4489.051094890511
Malleshpalya,1210.0,2.0,55.0,2,4545.454545454545
other,1500.0,2.0,85.0,3,5666.666666666667
other,1065.0,2.0,50.0,2,4694.835680751174
Ramamurthy Nagar,1515.0,3.0,65.0,3,4290.42904290429
Vijayanagar,989.0,2.0,60.0,2,6066.734074823054
Jakkur,1300.0,2.0,85.0,2,6538.461538461538
Marathahalli,1045.0,2.0,60.0,2,5741.626794258374
other,1205.0,2.0,42.18,2,3500.414937759336
other,1260.0,2.0,75.0,2,5952.380952380952
other,1199.0,2.0,50.0,2,4170.141784820684
Hennur Road,1385.0,2.0,83.09,2,5999.27797833935
Lakshminarayana Pura,1149.0,2.0,75.0,2,6527.415143603133
Hulimavu,1818.0,3.0,135.0,3,7425.742574257426
other,1070.0,2.0,33.0,2,3084.11214953271
Nagarbhavi,1350.0,2.0,54.6,3,4044.4444444444443
Sarjapur  Road,1084.0,2.0,55.0,2,5073.8007380073805
Kengeri,1255.0,2.0,50.0,2,3984.06374501992
Hosa Road,1541.0,3.0,69.84,3,4532.121998702141
Raja Rajeshwari Nagar,1295.0,2.0,70.0,2,5405.405405405405
7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
Electronic City,1100.0,2.0,40.0,2,3636.3636363636365
7th Phase JP Nagar,1370.0,2.0,54.79,3,3999.2700729927005
JP Nagar,1200.0,2.0,62.0,2,5166.666666666667
other,1950.0,3.0,130.0,3,6666.666666666667
Somasundara Palya,1178.0,2.0,73.0,2,6196.9439728353145
Begur Road,1160.0,2.0,42.0,2,3620.689655172414
Jigani,918.0,2.0,55.0,2,5991.285403050109
Electronic City,1563.0,3.0,91.84,3,5875.879718490083
other,1326.0,2.0,62.17,2,4688.536953242836
Begur Road,1240.0,2.0,39.06,2,3150.0
Kaggadasapura,1325.0,2.0,50.0,2,3773.5849056603774
Sonnenahalli,1100.0,2.0,44.0,2,4000.0
Somasundara Palya,1260.0,2.0,60.0,2,4761.9047619047615
Hoodi,1553.0,3.0,83.09,3,5350.289761751449
Whitefield,1280.0,2.0,52.0,2,4062.5
Hebbal,1550.0,2.0,75.0,3,4838.709677419355
Murugeshpalya,1550.0,3.0,74.0,3,4774.193548387097
Electronics City Phase 1,1515.0,2.0,80.91,3,5340.59405940594
Electronic City,1652.0,3.0,70.0,3,4237.28813559322
Hegde Nagar,1570.0,3.0,105.0,3,6687.898089171975
Sarjapur  Road,1750.0,3.0,110.0,3,6285.714285714285
Hebbal,1053.0,2.0,48.0,2,4558.404558404558
Kadubeesanahalli,1665.0,3.0,70.0,3,4204.204204204204
Bommasandra,1447.0,3.0,80.0,3,5528.6800276434005
Balagere,1012.0,2.0,75.0,2,7411.067193675889
Narayanapura,1308.0,2.0,92.66,2,7084.0978593272175
Gunjur,1140.0,2.0,49.11,2,4307.894736842105
Ambedkar Nagar,1424.0,2.0,90.0,2,6320.224719101124
Akshaya Nagar,1662.0,3.0,85.5,3,5144.404332129964
Begur Road,1200.0,2.0,45.0,2,3750.0
Battarahalli,1777.0,3.0,100.0,3,5627.462014631401
Kadugodi,1900.0,3.0,108.0,3,5684.210526315789
Anandapura,1576.0,3.0,59.1,3,3750.0
other,1020.0,2.0,41.0,2,4019.607843137255
Hoodi,1220.0,2.0,50.89,2,4171.311475409836
Vittasandra,1259.0,2.0,67.4,2,5353.455123113583
8th Phase JP Nagar,1800.0,3.0,80.0,3,4444.444444444444
Bannerghatta,1665.0,3.0,110.0,3,6606.606606606607
other,1234.0,2.0,61.0,2,4943.273905996759
Banashankari,1170.0,2.0,46.79,2,3999.1452991452993
Electronics City Phase 1,995.0,2.0,46.0,2,4623.115577889447
Old Airport Road,1075.0,2.0,60.0,2,5581.395348837209
Electronic City,1025.0,2.0,54.5,2,5317.073170731707
Thanisandra,2000.0,3.0,99.0,3,4950.0
Mallasandra,1325.0,2.0,70.0,2,5283.018867924528
Kadugodi,1314.0,2.0,68.2,2,5190.258751902587
Yelahanka,1026.0,2.0,41.0,2,3996.101364522417
KR Puram,1192.5,2.0,51.22,2,4295.17819706499
Hebbal,1420.0,2.0,99.39,2,6999.295774647887
JP Nagar,1300.0,2.0,90.87,2,6990.0
Rajaji Nagar,1216.0,2.0,97.16,2,7990.131578947368
Begur,1559.0,3.0,63.0,3,4041.0519563822963
Harlur,1290.0,2.0,87.0,2,6744.186046511628
other,1069.0,2.0,55.0,2,5144.9953227315245
Channasandra,1115.0,2.0,33.45,2,3000.0000000000005
Kanakpura Road,1252.0,2.0,56.32,2,4498.402555910543
Whitefield,1200.0,2.0,46.13,2,3844.1666666666665
Koramangala,1750.0,3.0,130.0,3,7428.571428571428
other,1375.0,2.0,105.0,2,7636.363636363636
Subramanyapura,1313.0,2.0,66.5,2,5064.737242955065
other,1693.0,3.0,108.0,3,6379.208505611341
other,1160.0,2.0,41.75,2,3599.137931034483
other,900.0,2.0,45.0,2,5000.0
Yelahanka New Town,1700.0,3.0,90.0,3,5294.117647058823
Uttarahalli,1700.0,3.0,88.0,3,5176.470588235294
Harlur,1749.0,3.0,115.0,3,6575.18582046884
other,1175.0,2.0,48.0,2,4085.1063829787236
Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
other,1200.0,2.0,50.0,2,4166.666666666667
Electronic City,1070.0,2.0,46.0,2,4299.065420560748
TC Palaya,1200.0,2.0,66.0,2,5500.0
9th Phase JP Nagar,1127.0,2.0,50.0,2,4436.557231588287
Indira Nagar,1210.0,2.0,102.0,2,8429.752066115703
other,1364.0,2.0,70.0,2,5131.964809384164
other,1146.0,2.0,39.5,2,3446.7713787085513
other,1345.0,2.0,55.0,2,4089.2193308550186
other,1110.0,2.0,41.0,2,3693.6936936936936
other,1156.0,2.0,49.5,2,4282.006920415225
other,1247.0,2.0,59.8,2,4795.50922213312
other,1058.0,2.0,60.0,2,5671.077504725898
Kaggalipura,950.0,2.0,48.0,2,5052.631578947368
Vijayanagar,1520.0,2.0,103.0,3,6776.315789473684
Marathahalli,1215.0,2.0,58.86,2,4844.444444444444
Thanisandra,1050.0,2.0,46.0,2,4380.952380952381
other,1500.0,2.0,65.0,3,4333.333333333333
other,1400.0,2.0,65.0,2,4642.857142857143
Bommasandra,920.0,2.0,37.46,2,4071.7391304347825
HSR Layout,1140.0,2.0,46.0,2,4035.0877192982457
Haralur Road,1464.0,2.0,56.0,2,3825.136612021858
Electronics City Phase 1,1555.0,2.0,82.0,3,5273.311897106109
Whitefield,1150.0,2.0,55.0,2,4782.608695652174
Kadubeesanahalli,970.0,2.0,35.0,2,3608.2474226804125
other,1166.0,2.0,53.0,2,4545.454545454545
Electronic City,1350.0,3.0,58.0,3,4296.2962962962965
other,900.0,2.0,46.0,2,5111.111111111111
Kodichikkanahalli,1495.0,2.0,75.0,3,5016.722408026756
Banashankari Stage III,1350.0,2.0,68.0,3,5037.037037037037
Green Glen Layout,940.0,2.0,56.8,2,6042.553191489362
Raja Rajeshwari Nagar,1100.0,2.0,55.0,2,5000.0
Kaikondrahalli,1300.0,2.0,61.0,2,4692.307692307692
Hoodi,1105.0,2.0,46.37,2,4196.380090497738
Yelahanka,1517.0,3.0,76.3,3,5029.663810151615
Jalahalli,1615.0,3.0,89.75,3,5557.275541795666
other,1500.0,3.0,65.0,3,4333.333333333333
Marathahalli,1365.0,2.0,73.0,2,5347.985347985348
CV Raman Nagar,1392.0,2.0,98.0,2,7040.229885057472
other,1086.0,2.0,33.66,2,3099.4475138121543
Hennur Road,1586.0,3.0,93.94,3,5923.076923076923
Hennur,1100.0,2.0,60.0,2,5454.545454545455
Electronic City Phase II,1065.0,2.0,30.75,2,2887.323943661972
Hennur Road,1975.0,3.0,123.0,3,6227.848101265823
Gubbalala,1745.0,3.0,110.0,3,6303.7249283667625
Nagarbhavi,1223.0,2.0,60.0,2,4905.968928863451
Basaveshwara Nagar,1200.0,2.0,90.0,2,7500.0
Bharathi Nagar,1351.0,2.0,70.0,2,5181.347150259067
Hebbal,1355.0,3.0,83.87,3,6189.667896678967
Thanisandra,1588.0,3.0,75.55,3,4757.556675062972
Panathur,1370.0,2.0,75.0,3,5474.4525547445255
Whitefield,1500.0,3.0,71.8,3,4786.666666666667
Hoodi,1247.0,2.0,53.0,2,4250.200481154771
Balagere,1020.07,2.0,68.38,2,6703.461527150097
other,1460.0,2.0,73.0,3,5000.0
Garudachar Palya,1150.0,2.0,52.8,2,4591.304347826087
Babusapalaya,1141.0,2.0,46.0,2,4031.5512708150745
Kanakapura,1295.0,2.0,64.0,2,4942.084942084942
Haralur Road,1230.0,2.0,78.0,2,6341.463414634146
Kaggalipura,1000.0,2.0,60.0,2,6000.0
Rayasandra,1708.0,3.0,75.0,3,4391.100702576113
Thanisandra,1697.0,3.0,115.0,3,6776.664702416028
Banashankari,1350.0,2.0,83.0,3,6148.148148148148
Jalahalli,1083.0,2.0,32.49,2,3000.0
Gottigere,1460.0,2.0,65.0,3,4452.054794520548
Babusapalaya,1084.0,2.0,58.0,2,5350.553505535056
Bommasandra,1035.0,2.0,41.43,2,4002.8985507246375
Whitefield,1285.0,2.0,55.9,2,4350.194552529183
other,1070.0,2.0,35.0,2,3271.0280373831774
Hegde Nagar,1801.0,3.0,140.0,3,7773.459189339256
Whitefield,1697.0,3.0,115.0,3,6776.664702416028
AECS Layout,1199.0,2.0,65.0,2,5421.184320266889
other,1125.0,2.0,75.0,2,6666.666666666667
Anandapura,1200.0,2.0,67.0,2,5583.333333333333
Subramanyapura,1050.0,2.0,41.0,2,3904.7619047619046
Nagarbhavi,956.0,2.0,49.0,2,5125.523012552301
Sarjapur,1000.0,2.0,30.0,2,3000.0
other,1596.0,3.0,95.0,3,5952.380952380952
Kanakpura Road,1296.0,2.0,89.06,2,6871.913580246914
other,1639.0,3.0,123.0,3,7504.5759609518
Electronic City Phase II,1219.0,2.0,61.25,2,5024.610336341263
Bannerghatta Road,1218.0,2.0,73.0,2,5993.431855500821
other,920.0,2.0,37.0,2,4021.7391304347825
Lingadheeranahalli,1530.0,2.0,90.0,3,5882.35294117647
Jakkur,1950.0,3.0,131.0,3,6717.948717948718
Kanakpura Road,1339.0,2.0,62.0,2,4630.321135175504
Whitefield,1130.0,2.0,36.0,2,3185.8407079646017
Uttarahalli,1085.0,2.0,43.0,2,3963.1336405529955
Yeshwanthpur,1430.0,3.0,72.0,3,5034.965034965035
other,1490.0,2.0,59.6,3,4000.0
Bellandur,1286.0,2.0,57.0,2,4432.348367029549
Haralur Road,1000.0,2.0,44.0,2,4400.0
Whitefield,1215.0,2.0,39.0,2,3209.8765432098767
Lakshminarayana Pura,1336.0,2.0,100.0,2,7485.029940119761
Anandapura,1200.0,2.0,58.0,2,4833.333333333333
other,1200.0,2.0,79.0,2,6583.333333333333
Sector 2 HSR Layout,1143.0,2.0,65.0,2,5686.789151356081
Kanakpura Road,1470.0,2.0,61.74,2,4200.0
Marathahalli,1785.0,3.0,94.0,3,5266.106442577031
Kothanur,1460.0,3.0,71.0,3,4863.013698630137
Kasturi Nagar,1500.0,2.0,80.0,3,5333.333333333333
Chikkalasandra,1230.0,2.0,48.0,2,3902.439024390244
Thanisandra,1220.0,2.0,43.92,2,3600.0
other,1570.0,3.0,115.0,3,7324.84076433121
Mallasandra,1665.0,3.0,86.91,3,5219.81981981982
Ramamurthy Nagar,1100.0,2.0,68.0,2,6181.818181818182
Kasavanhalli,1719.0,3.0,116.0,3,6748.109365910413
Sonnenahalli,1011.0,2.0,50.53,2,4998.021760633037
other,1680.0,3.0,85.0,3,5059.523809523809
Hennur,1231.0,2.0,48.0,2,3899.268887083672
Somasundara Palya,1174.0,2.0,74.0,2,6303.236797274276
Munnekollal,1560.0,3.0,75.0,3,4807.692307692308
other,1464.0,2.0,56.0,2,3825.136612021858
Devanahalli,1080.0,2.0,44.0,2,4074.074074074074
Electronic City,1020.0,2.0,29.46,2,2888.235294117647
Begur Road,1500.0,2.0,55.0,3,3666.6666666666665
Uttarahalli,1175.0,2.0,47.0,2,4000.0
Channasandra,1030.0,2.0,34.5,2,3349.5145631067962
Hoodi,1500.0,2.0,84.0,2,5600.0
other,1200.0,2.0,50.0,2,4166.666666666667
Hegde Nagar,1584.01,3.0,103.0,3,6502.484201488627
other,1800.0,3.0,70.0,3,3888.8888888888887
R.T. Nagar,1200.0,2.0,45.0,2,3750.0
other,925.0,2.0,42.0,2,4540.540540540541
other,1230.0,2.0,57.0,2,4634.1463414634145
Kodichikkanahalli,1125.0,2.0,52.0,2,4622.222222222223
Hebbal,1100.0,2.0,54.0,2,4909.090909090909
Jakkur,1858.0,3.0,98.3,3,5290.635091496232
HSR Layout,1185.0,2.0,60.0,2,5063.291139240507
Hennur,1255.0,2.0,58.0,2,4621.5139442231075
Dodda Nekkundi,1999.0,3.0,132.0,3,6603.301650825412
Kundalahalli,1397.0,3.0,110.0,3,7874.0157480314965
Chikka Tirupathi,1616.0,3.0,95.0,3,5878.712871287129
Raja Rajeshwari Nagar,1140.0,2.0,38.55,2,3381.578947368421
Balagere,1205.47,2.0,81.0,2,6719.370867794304
Electronic City,1700.0,3.0,75.0,3,4411.764705882353
Kanakpura Road,1090.0,2.0,54.54,2,5003.6697247706425
Green Glen Layout,1050.0,2.0,48.0,2,4571.428571428572
Whitefield,1495.0,2.0,79.5,2,5317.725752508361
Narayanapura,1485.0,3.0,85.0,3,5723.905723905724
Sarjapur  Road,944.0,2.0,35.0,2,3707.6271186440677
Whitefield,1216.0,2.0,66.48,2,5467.105263157895
other,1100.0,2.0,39.5,2,3590.909090909091
Thanisandra,1743.0,3.0,93.25,3,5349.971313826735
Yelahanka,1274.0,2.0,48.42,2,3800.6279434850862
Mysore Road,1512.0,2.0,110.0,3,7275.132275132275
Cox Town,1650.0,3.0,100.0,3,6060.606060606061
other,1219.0,2.0,40.0,2,3281.3781788351107
Hormavu,1141.0,2.0,44.4,2,3891.3234005258546
Anandapura,1151.0,2.0,43.1,2,3744.5699391833186
Sarjapur  Road,915.0,2.0,38.0,2,4153.005464480874
Bannerghatta Road,1115.0,2.0,65.12,2,5840.358744394619
Kaggadasapura,1200.0,2.0,53.0,2,4416.666666666667
Singasandra,1300.0,2.0,65.0,2,5000.0
Bellandur,1457.0,2.0,85.0,2,5833.905284831846
Kannamangala,1262.0,2.0,55.0,2,4358.161648177496
Kanakapura,1160.0,2.0,46.39,2,3999.137931034483
Kasavanhalli,1115.0,2.0,50.0,2,4484.304932735426
Babusapalaya,1500.0,2.0,57.0,2,3800.0
HSR Layout,1127.0,2.0,68.0,2,6033.717834960071
Kundalahalli,1397.0,3.0,104.0,3,7444.523979957051
Whitefield,1173.0,2.0,60.0,2,5115.089514066496
Jakkur,1230.0,2.0,76.0,2,6178.861788617886
Talaghattapura,1868.0,3.0,121.0,3,6477.516059957174
Uttarahalli,1689.28,3.0,91.2,3,5398.74976321273
other,1350.0,2.0,100.0,2,7407.407407407408
other,970.0,2.0,40.0,2,4123.711340206186
Kundalahalli,1397.0,3.0,108.0,3,7730.851825340014
Sarjapur,1157.0,2.0,40.0,2,3457.216940363008
Kasavanhalli,1125.0,2.0,61.2,2,5440.0
Sonnenahalli,1157.0,2.0,42.0,2,3630.077787381158
Sarjapur  Road,1241.0,2.0,82.0,2,6607.57453666398
Brookefield,1139.0,2.0,80.0,2,7023.705004389815
Yeshwanthpur,1168.0,2.0,64.08,2,5486.301369863014
Electronics City Phase 1,1340.0,2.0,75.0,2,5597.014925373134
other,1405.0,2.0,70.0,3,4982.20640569395
other,1360.0,2.0,65.0,3,4779.411764705882
other,985.0,2.0,63.0,2,6395.9390862944165
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
other,1490.0,2.0,88.0,3,5906.040268456376
Hormavu,1130.0,2.0,42.3,2,3743.362831858407
Yelachenahalli,1080.0,2.0,55.0,2,5092.592592592592
Begur Road,1410.0,2.0,52.17,3,3700.0
Bommanahalli,1375.0,3.0,59.0,3,4290.909090909091
Electronic City,1128.0,2.0,68.0,2,6028.368794326241
Kanakpura Road,1051.0,2.0,56.74,2,5398.667935299714
Yelahanka,1327.0,2.0,85.0,2,6405.42577241899
other,1301.0,2.0,55.0,2,4227.517294388932
other,1500.0,2.0,89.99,3,5999.333333333333
Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
Sarjapur  Road,984.0,2.0,45.91,2,4665.650406504065
Hebbal,1355.0,3.0,83.87,3,6189.667896678967
Kaggadasapura,1118.0,2.0,30.0,2,2683.3631484794278
Hosakerehalli,1304.0,2.0,100.0,2,7668.711656441717
Begur Road,1615.0,3.0,58.0,3,3591.331269349845
Sarjapur  Road,1400.0,2.0,68.0,2,4857.142857142857
CV Raman Nagar,1070.0,2.0,47.5,2,4439.252336448598
Hoodi,1132.0,2.0,89.37,2,7894.876325088339
other,2000.0,3.0,85.0,3,4250.0
Raja Rajeshwari Nagar,1090.0,2.0,43.59,2,3999.0825688073396
Gottigere,1500.0,3.0,70.0,3,4666.666666666667
Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
Whitefield,1269.0,2.0,75.0,2,5910.16548463357
Kanakpura Road,1070.0,2.0,37.45,2,3500.0000000000005
Marathahalli,1208.0,2.0,70.0,2,5794.701986754967
Ramamurthy Nagar,1185.0,2.0,45.5,2,3839.662447257384
other,902.0,2.0,42.0,2,4656.319290465632
Uttarahalli,1175.0,2.0,47.0,2,4000.0
Doddathoguru,984.0,2.0,51.0,2,5182.926829268293
other,1475.0,3.0,96.0,3,6508.474576271186
Haralur Road,1300.0,2.0,79.0,2,6076.923076923077
Akshaya Nagar,1666.0,3.0,95.0,3,5702.280912364946
Murugeshpalya,1845.0,3.0,91.0,3,4932.249322493225
Uttarahalli,1137.0,2.0,63.0,2,5540.8970976253295
Electronic City,1360.0,2.0,70.5,3,5183.823529411765
other,1374.0,2.0,70.0,3,5094.614264919942
other,1080.0,2.0,55.0,2,5092.592592592592
Electronic City Phase II,1790.0,3.0,100.0,3,5586.592178770949
Somasundara Palya,1033.0,2.0,48.0,2,4646.660212971927
other,1240.0,2.0,52.6,2,4241.935483870968
other,1500.0,2.0,97.0,3,6466.666666666667
Marathahalli,1730.0,3.0,139.0,3,8034.682080924856
Whitefield,1545.0,3.0,79.0,3,5113.26860841424
Hebbal Kempapura,1150.0,2.0,40.0,2,3478.2608695652175
other,1200.0,2.0,49.0,2,4083.3333333333335
Kengeri,963.0,2.0,40.0,2,4153.686396677051
Lingadheeranahalli,1682.0,3.0,120.0,3,7134.36385255648
Yelahanka,1371.0,2.0,65.0,3,4741.064916119621
Hennur Road,901.0,2.0,49.5,2,5493.895671476138
Ambalipura,1730.0,3.0,120.0,3,6936.416184971098
EPIP Zone,1500.0,3.0,102.0,3,6800.0
other,1203.0,2.0,59.86,2,4975.893599334996
Horamavu Banaswadi,1357.0,2.0,54.0,2,3979.3662490788506
other,1600.0,3.0,76.0,3,4750.0
Haralur Road,1444.0,2.0,80.0,3,5540.16620498615
Kanakapura,1277.0,2.0,55.0,2,4306.969459671104
Lingadheeranahalli,1521.0,3.0,94.71,3,6226.824457593689
other,1134.0,2.0,40.0,2,3527.336860670194
Vasanthapura,995.0,2.0,34.82,2,3499.497487437186
Marathahalli,1525.0,3.0,90.0,3,5901.639344262295
Electronic City,1150.0,2.0,38.0,2,3304.3478260869565
Electronic City,1571.0,3.0,105.0,3,6683.64099299809
Hennur Road,1445.0,3.0,86.56,3,5990.311418685121
Bommasandra,902.0,2.0,49.0,2,5432.372505543237
Electronic City,1090.0,2.0,31.49,2,2888.9908256880735
Yelahanka,1712.0,3.0,82.0,3,4789.719626168225
Haralur Road,1088.0,2.0,68.0,2,6250.0
Somasundara Palya,1575.0,3.0,63.1,3,4006.3492063492063
Kundalahalli,1920.0,3.0,150.0,3,7812.5
Margondanahalli,1000.0,2.0,57.0,2,5700.0
other,1100.0,2.0,56.1,2,5100.0
Electronic City,1089.0,2.0,45.0,2,4132.231404958678
Horamavu Agara,1106.0,2.0,43.09,2,3896.021699819168
Kengeri,927.0,2.0,37.0,2,3991.3700107874865
Kanakpura Road,1339.0,2.0,58.0,2,4331.59073935773
Lakshminarayana Pura,1175.0,2.0,75.0,2,6382.978723404255
Thubarahalli,975.0,2.0,55.0,2,5641.025641025641
Thanisandra,1183.0,2.0,59.74,2,5049.873203719358
Harlur,1758.0,3.0,133.0,3,7565.415244596132
Pai Layout,1100.0,2.0,50.0,2,4545.454545454545
Ramamurthy Nagar,1170.0,2.0,46.8,2,4000.0
Kanakpura Road,1591.0,3.0,115.0,3,7228.158390949088
7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
Hoodi,1055.0,2.0,57.63,2,5462.559241706161
Iblur Village,1918.0,3.0,129.0,3,6725.7559958289885
Sarjapur  Road,1280.0,2.0,76.0,2,5937.5
Nagarbhavi,1560.0,3.0,66.0,3,4230.7692307692305
Sarjapur  Road,1145.0,2.0,49.5,2,4323.144104803493
other,1801.0,3.0,139.0,3,7717.9344808439755
Hebbal,1320.0,2.0,92.0,2,6969.69696969697
other,1350.0,2.0,65.0,3,4814.814814814815
Bannerghatta Road,1893.0,3.0,100.0,3,5282.620179609086
Lakshminarayana Pura,1190.0,2.0,75.0,2,6302.5210084033615
Whitefield,1000.0,2.0,35.0,2,3500.0
Kumaraswami Layout,1000.0,2.0,48.5,2,4850.0
KR Puram,1100.0,2.0,46.0,2,4181.818181818182
Electronic City,1110.0,2.0,40.0,2,3603.6036036036035
Kudlu,1027.0,2.0,43.0,2,4186.952288218111
Sarjapur  Road,1470.0,3.0,62.0,3,4217.687074829932
other,1150.0,2.0,75.0,2,6521.739130434783
other,1400.0,2.0,62.0,3,4428.571428571428
Bellandur,1195.0,2.0,51.0,2,4267.782426778243
Narayanapura,1302.0,2.0,69.1,2,5307.219662058371
Begur Road,1583.0,3.0,74.4,3,4699.936828806065
other,1488.0,2.0,60.0,3,4032.2580645161293
Electronic City,1600.0,3.0,104.0,3,6500.0
Old Airport Road,1150.0,2.0,90.0,2,7826.086956521739
Sarjapur  Road,1263.0,2.0,78.0,2,6175.771971496437
Kanakpura Road,1299.0,2.0,85.0,2,6543.4949961508855
